"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"3511" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2673; b2674; b2675; b2676" "nrdH; nrdI; nrdE; nrdF" "Hydrogen donor for NrdEF electron transport system; glutaredoxin-like protein; flavodoxin required for NrdEF cluster assembly; ribonucleoside-diphosphate reductase 2, alpha subunit; ribonucleoside-diphosphate reductase 2, beta subunit, ferritin-like protein"
"3512" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2677; b2678; b2679" "proV; proW; proX" "glycine betaine transporter subunit; glycine betaine transporter subunit; glycine betaine transporter subunit"
"3513" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2682; b2683" "ygaZ; ygaH" "probable L-valine exporter, norvaline resistance; probable L-valine exporter, norvaline resistance"
"3514" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2685; b2686" "emrA; emrB" "multidrug efflux system; multidrug efflux system protein"
"3515" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2688; b2689; b2690" "gshA; yqaA; yqaB" "glutamate-cysteine ligase; inner membrane protein, COG1238 family; fructose-1-P and 6-phosphogluconate phosphatase"
"3516" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2699; b2700" "recA; ygaD" "DNA strand exchange and recombination protein with protease and nuclease activity; conserved protein"
"3517" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2702; b2703; b2704; b2705" "srlA; srlE; srlB; srlD" "glucitol/sorbitol-specific enzyme IIC component of PTS; glucitol/sorbitol-specific enzyme IIB component of PTS; glucitol/sorbitol-specific enzyme IIA component of PTS; sorbitol-6-phosphate dehydrogenase"
"3518" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2706; b2707; b2708" "gutM; srlR; gutQ" "DNA-binding transcriptional activator of glucitol operon; DNA-bindng transcriptional repressor; D-arabinose 5-phosphate isomerase"
"3519" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2710; b2711" "norV; norW" "anaerobic nitric oxide reductase flavorubredoxin; NADH:flavorubredoxin oxidoreductase"
"3520" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2715; b2716" "ascF; ascB" "fused cellobiose/arbutin/salicin-specific PTS enzymes: IIB component/IC component; cryptic 6-phospho-beta-glucosidase"
"3521" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 8 "b2717; b2718; b2719; b2720; b2721; b2722; b2723; b2724" "hycI; hycH; hycG; hycF; hycE; hycD; hycC; hycB" "protease involved in processing C-terminal end of HycE; protein required for maturation of hydrogenase 3; hydrogenase 3 and formate hydrogenase complex, HycG subunit; formate hydrogenlyase complex iron-sulfur protein; hydrogenase 3, large subunit; hydrogenase 3, membrane subunit; hydrogenase 3, membrane subunit; hydrogenase 3, Fe-S subunit"
"3522" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b2726; b2727; b2728; b2729; b2730; b2731" "hypA; hypB; hypC; hypD; hypE; fhlA" "protein involved in nickel insertion into hydrogenases 3; GTP hydrolase involved in nickel liganding into hydrogenases; protein required for maturation of hydrogenases 1 and 3; protein required for maturation of hydrogenases; carbamoyl dehydratase, hydrogenases 1,2,3 maturation protein; DNA-binding transcriptional activator"
"3523" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2736; b2737" "ygbJ; ygbK" "predicted dehydrogenase, with NAD(P)-binding Rossmann-fold domain; conserved protein"
"3524" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2738; b2739; b2740" "ygbL; ygbM; ygbN" "predicted class II aldolase; conserved protein; predicted transporter"
"3525" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2741; b2742" "rpoS; nlpD" "RNA polymerase, sigma S (sigma 38) factor; activator of AmiC murein hydrolase activity, lipoprotein"
"3526" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b2743; b2744; b2745; b2746; b2747; b2748" "pcm; surE; truD; ispF; ispD; ftsB" "L-isoaspartate protein carboxylmethyltransferase type II; broad specificity 5'(3')-nucleotidase and polyphosphatase; tRNA(Glu) U13 pseudouridine synthase; 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase; 4-diphosphocytidyl-2C-methyl-D-erythritol synthase; cell division protein"
"3527" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2749; b2750; b2751; b2752" "ygbE; cysC; cysN; cysD" "conserved inner membrane protein; adenosine 5'-phosphosulfate kinase; sulfate adenylyltransferase, subunit 1; sulfate adenylyltransferase, subunit 2"
"3528" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b2754; b2755; b2756; b2757; b2758; b2759; b2760" "ygbF; ygbT; casE; casD; casC; casB; casA" "probable ssRNA endonuclease, CRISP-associated protein; CRISP-associated protein Cas1, DNA endonuclease; DNA repair protein; CRISPR RNA precursor cleavage enzyme; CRISP RNA (crRNA) containing Cascade antiviral complex protein; CRISP RNA (crRNA) containing Cascade antiviral complex protein; CRISP RNA (crRNA) containing Cascade antiviral complex protein; CRISP RNA (crRNA) containing Cascade antiviral complex protein; CRISP RNA (crRNA) containing Cascade antiviral complex protein"
"3529" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2762; b2763; b2764" "cysH; cysI; cysJ" "3'-phosphoadenosine 5'-phosphosulfate reductase; sulfite reductase, beta subunit, NAD(P)-binding, heme-binding; sulfite reductase, alpha subunit, flavoprotein"
"3530" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2765; b2766; b2767; b2768" "queD; ygcN; ygcO; ygcP" "6-pyruvoyl tetrahydrobiopterin synthase (PTPS); predicted oxidoreductase with FAD/NAD(P)-binding domain; predicted 4Fe-4S cluster-containing protein; predicted anti-terminator regulatory protein"
"3531" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2769; b2770; b2771; b4463; b2774" "ygcQ; ygcR; ygcS; ygcU; ygcW" "predicted flavoprotein; predicted flavoprotein; predicted transporter; predicted FAD containing dehydrogenase; predicted dehydrogenase"
"3532" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2775; b2776" "yqcE; ygcE" "inner membrane protein, predicted transporter; predicted kinase"
"3533" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2779; b2780" "eno; pyrG" "enolase; CTP synthetase"
"3534" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2781; b2782; b2783" "mazG; mazF; mazE" "nucleoside triphosphate pyrophosphohydrolase; mRNA interferase toxin, antitoxin is MazE; antitoxin of the ChpA-ChpR toxin-antitoxin system"
"3535" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2784; b2785" "relA; rlmC" "(p)ppGpp synthetase I/GTP pyrophosphokinase; 23S rRNA m(5)U1939 methyltransferase, SAM-dependent"
"3536" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2787; b2788; b2789" "gudD; gudX; gudP" "(D)-glucarate dehydratase 1; glucarate dehydratase-related protein, substrate unknown; predicted D-glucarate transporter"
"3537" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2790; b2791; b2792" "yqcA; truC; yqcC" "predicted flavoprotein; tRNA U65 pseudouridine synthase; conserved protein"
"3538" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2796; b2797; b2798" "sdaC; sdaB; ygdG" "predicted serine transporter; L-serine deaminase II; Ssb-binding protein, misidentified as ExoIX"
"3539" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2800" "fucA" "L-fuculose-1-phosphate aldolase"
"3540" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2801; b2802; b2803; b2804; b2805" "fucP; fucI; fucK; fucU; fucR" "L-fucose transporter; L-fucose isomerase; L-fuculokinase; L-fucose mutarotase; DNA-binding transcriptional activator"
"3541" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2806; b2807; b2808" "rlmM; ygdD; gcvA" "23S rRNA C2498 ribose 2'-O-methyltransferase, SAM-dependent; inner membrane protein, UPF0382 family; DNA-binding transcriptional dual regulator"
"3542" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2810; b2811" "csdA; csdE" "cysteine sulfinate desulfinase; CsdA-binding activator; Fe-S protein"
"3543" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2819; b2820; b2821" "recD; recB; ptrA" "exonuclease V (RecBCD complex), alpha chain; exonuclease V (RecBCD complex), beta subunit; protease III"
"3544" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2822; b2823; b2824; b2825; b2826" "recC; ppdC; ygdB; ppdB; ppdA" "exonuclease V (RecBCD complex), gamma chain; predicted protein; conserved protein, DUF2509 family; conserved protein; conserved protein"
"3545" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2827; b2828" "thyA; lgt" "thymidylate synthetase; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase"
"3546" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2829; b2830" "ptsP; rppH" "fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein; RNA pyrophosphohydrolase"
"3547" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2835; b2836" "lplT; aas" "lysophospholipid transporter; fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase"
"3548" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2842; b2843" "kduD; kduI" "2-deoxy-D-gluconate 3-dehydrogenase; 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase"
"3549" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2847; b2848" "yqeI; yqeJ" "predicted transcriptional regulator; predicted protein"
"3550" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2860; b2861" "insD; insC" "IS2 transposase TnpB; IS2 repressor TnpA"
"3551" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2866; b2867; b2868" "xdhA; xdhB; xdhC" "xanthine dehydrogenase, molybdenum binding subunit; xanthine dehydrogenase, FAD-binding subunit; xanthine dehydrogenase, Fe-S binding subunit"
"3552" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2870; b2871; b2872; b2873; b2874" "ygeW; ygeX; ygeY; hyuA; yqeA" "predicted carbamoyltransferase; 2,3-diaminopropionate ammonia-lyase; predicted peptidase; D-stereospecific phenylhydantoinase; predicted amino acid kinase"
"3553" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2875; b2876" "yqeB; yqeC" "conserved protein with NAD(P)-binding Rossman fold; conserved protein"
"3554" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2878; b2879; b2880; b2881" "ygfK; ssnA; ygfM; xdhD" "predicted oxidoreductase, Fe-S subunit; predicted chlorohydrolase/aminohydrolase; predicted oxidoreductase; probable hypoxanthine oxidase, molybdopterin-binding/Fe-S binding"
"3555" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2882; b2883; b4464" "xanQ; guaD; ygfQ" "xanthine permease; guanine deaminase; predicted purine permease"
"3556" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2886; b2887" "ygfS; ygfT" "predicted oxidoreductase, 4Fe-4S ferredoxin-type subunit; fused predicted oxidoreductase: Fe-S subunit/nucleotide-binding subunit"
"3557" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2888; b4684" "ygfU; yqfG" "predicted transporter; expressed protein"
"3558" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2890; b2891; b2892; b2893; b2894" "lysS; prfB; recJ; dsbC; xerD" "lysine tRNA synthetase, constitutive; peptide chain release factor RF-2; ssDNA exonuclease, 5' --> 3'-specific; protein disulfide isomerase II; site-specific tyrosine recombinase"
"3559" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2896; b2897" "ygfX; ygfY" "predicted protein; conserved protein"
"3560" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2903; b2904; b2905" "gcvP; gcvH; gcvT" "glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex; glycine cleavage complex lipoylprotein; aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex"
"3561" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2906; b2907; b2908; b2909" "visC; ubiH; pepP; ygfB" "predicted oxidoreductase with FAD/NAD(P)-binding domain; 2-octaprenyl-6-methoxyphenol hydroxylase, FAD/NAD(P)-binding; proline aminopeptidase P II; conserved protein, UPF0149 family"
"3562" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b2917; b2918; b2919; b2920" "scpA; argK; scpB; scpC" "methylmalonyl-CoA mutase; membrane ATPase/protein kinase; methylmalonyl-CoA decarboxylase, biotin-independent; propionyl-CoA:succinate-CoA transferase"
"3563" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2922; b2923" "yggE; argO" "oxidative stress defense protein; arginine transporter"
"3564" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2926; b2927" "pgk; epd" "phosphoglycerate kinase; D-erythrose 4-phosphate dehydrogenase"
"3565" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b2928; b2929; b2930; b4465; b2933; b2934" "yggC; yggD; yggF; yggP; cmtA; cmtB" "conserved protein with nucleoside triphosphate hydrolase domain; predicted DNA-binding transcriptional regulator; fructose 1,6 bisphosphatase isozyme; predicted dehydrogenase; predicted fused mannitol-specific PTS enzymes: IIB component/IIC component; predicted mannitol-specific enzyme IIA component of PTS"
"3566" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2938; b2939" "speA; yqgB" "biosynthetic arginine decarboxylase, PLP-binding; predicted protein"
"3567" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2943; b2944" "galP; yggI" "D-galactose transporter; conserved protein"
"3568" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2946; b2947" "rsmE; gshB" "16S rRNA m(3)U1498 methyltransferase, SAM-dependent; glutathione synthetase"
"3569" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2948; b2949" "yqgE; yqgF" "predicted protein; predicted Holliday junction resolvase"
"3570" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2951; b2952; b2953; b2954; b2955" "yggS; yggT; yggU; rdgB; yggW" "predicted enzyme, binds pyridoxal 5'-phosphate; predicted inner membrane protein; conserved protein, UPF0235 family; dITP/XTP pyrophosphatase; predicted oxidoreductase, HemN family"
"3571" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2959; b2960" "yggL; trmI" "conserved protein, DUF469 family; tRNA m(7)G46 methyltransferase, SAM-dependent"
"3572" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2961; b2962; b2963" "mutY; yggX; mltC" "adenine DNA glycosylase; protein that protects iron-sulfur proteins against oxidative damage; membrane-bound lytic murein transglycosylase C"
"3573" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b2971; b2972" "yghG; pppA" "predicted protein; bifunctional prepilin leader peptidase/ methylase"
"3574" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b2976; b2977; b4467; b4468; b2979" "glcB; glcG; glcF; glcE; glcD" "malate synthase G; conserved protein; glycolate oxidase 4Fe-4S iron-sulfur cluster subunit; glycolate oxidase FAD binding subunit; glycolate oxidase subunit, FAD-linked"
"3575" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b2983; b2984; b2985" "yghQ; yghR; yghS" "predicted inner membrane protein; predicted ATP-binding protein; predicted ATP-binding protein"
"3576" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 8 "b2990; b2991; b2992; b2993; b2994; b2995; b2996; b2997" "hybG; hybF; hybE; hybD; hybC; hybB; hybA; hybO" "hydrogenase 2 accessory protein; protein involved with the maturation of hydrogenases 1 and 2; hydrogenase 2-specific chaperone; maturation protease for hydrogenase 2; hydrogenase 2, large subunit; predicted hydrogenase 2 cytochrome b type component; hydrogenase 2 4Fe-4S ferredoxin-type component; hydrogenase 2, small subunit"
"3577" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3005; b3006" "exbD; exbB" "membrane spanning protein in TonB-ExbB-ExbD complex; membrane spanning protein in TonB-ExbB-ExbD complex"
"3578" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3011; b3012" "yqhD; dkgA" "aldehyde reductase, NADPH-dependent; 2,5-diketo-D-gluconate reductase A"
"3579" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3013; b3014" "yqhG; yqhH" "conserved protein; outer membrane lipoprotein, Lpp paralog"
"3580" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3017; b3018" "ftsP; plsC" "septal ring component that protects the divisome from stress; multicopy suppressor of ftsI(Ts); 1-acyl-sn-glycerol-3-phosphate acyltransferase"
"3581" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3021; b3022" "mqsA; mqsR" "antitoxin for MqsR toxin; predicted transcriptional regulator; GCU-specific mRNA interferase toxin of the MqsR-MqsA toxin-antitoxin system and biofilm/motility regulator"
"3582" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3023; b3024" "ygiV; ygiW" "transcriptional repressor for mcbR biofilm gene; conserved protein"
"3583" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3025; b3026" "qseB; qseC" "quorum sensing DNA-binding response regulator in two-component regulatory system with QseC; quorum sensing sensory histidine kinase in two-component regulatory system with QseB"
"3584" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3028; b3029" "mdaB; ygiN" "NADPH quinone reductase; quinol monooxygenase"
"3585" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b3030; b3031; b3032; b3033; b3034" "parE; yqiA; cpdA; yqiB; nudF" "DNA topoisomerase IV, subunit B; acyl CoA esterase in vitro; 3',5' cAMP phosphodiesterase; DUF1249 protein YqiB; ADP-ribose pyrophosphatase"
"3586" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3037; b3038" "ygiB; ygiC" "conserved protein, UPF0441 family; Glutathionylspermidine synthase homolog"
